               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043357,            0.050035,            0.043266,             0.17511,             0.33721,             0.22914,             0.13186,            0.046609,            0.027527,            0.062897,            0.007816,            0.007816,            0.007816
                  37,            0.042953,             0.04926,            0.041544,             0.39949,             0.26321,             0.20663,             0.12093,            0.044514,            0.027404,             0.06515,           0.0077031,           0.0077031,           0.0077031
                  38,             0.04352,            0.049327,            0.044322,             0.25144,             0.28087,             0.19769,             0.12199,            0.045405,            0.027598,            0.059209,           0.0075886,           0.0075886,           0.0075886
                  39,            0.043071,             0.04867,            0.041077,             0.18154,             0.29277,             0.21207,             0.12596,            0.044125,            0.027985,            0.063297,           0.0074725,           0.0074725,           0.0074725
                  40,             0.04211,            0.047531,            0.041464,             0.16954,             0.38756,             0.21813,             0.12967,            0.045018,            0.027953,            0.063136,            0.007355,            0.007355,            0.007355
                  41,            0.041597,             0.04745,            0.039125,             0.16712,             0.40563,             0.24936,             0.15287,            0.047745,            0.028544,            0.061514,           0.0072361,           0.0072361,           0.0072361
                  42,             0.04257,            0.047545,            0.039064,             0.19997,             0.34581,              0.2346,             0.13691,            0.044302,             0.02831,            0.068982,            0.007116,            0.007116,            0.007116
                  43,            0.042308,            0.047173,            0.037639,             0.21633,             0.27362,             0.19352,             0.11662,            0.047063,            0.028808,            0.057192,           0.0069948,           0.0069948,           0.0069948
                  44,            0.042241,            0.047413,            0.038666,             0.18399,             0.29011,               0.211,              0.1243,            0.044519,            0.027925,            0.055438,           0.0068726,           0.0068726,           0.0068726
                  45,            0.041708,            0.046499,            0.038527,               0.244,             0.26888,             0.21079,             0.11603,            0.043852,            0.028069,            0.060776,           0.0067495,           0.0067495,           0.0067495
                  46,            0.041428,            0.047621,            0.036513,             0.16813,              0.3678,              0.2263,             0.13542,            0.043377,             0.02872,            0.055889,           0.0066257,           0.0066257,           0.0066257
                  47,             0.04248,            0.048412,            0.033237,             0.16827,             0.40192,             0.24255,             0.14416,            0.042737,            0.027819,            0.060955,           0.0065013,           0.0065013,           0.0065013
                  48,            0.040975,            0.046256,            0.031913,             0.18328,             0.37962,             0.25065,             0.15204,            0.043228,            0.027862,            0.067711,           0.0063764,           0.0063764,           0.0063764
                  49,            0.040925,            0.046732,            0.031867,             0.18843,             0.41731,             0.25392,              0.1563,            0.044605,            0.027695,            0.062293,           0.0062512,           0.0062512,           0.0062512
                  50,            0.039737,            0.046272,            0.032688,              0.2248,             0.36814,             0.26548,             0.15851,             0.04311,            0.027848,            0.060818,           0.0061256,           0.0061256,           0.0061256
                  51,             0.04048,            0.045338,             0.03083,             0.22922,             0.33548,             0.25278,             0.15489,            0.046094,            0.028154,            0.060033,               0.006,               0.006,               0.006
                  52,            0.040237,             0.04413,            0.031649,             0.50916,             0.22437,             0.25128,             0.15364,            0.042104,            0.028045,            0.054776,           0.0058744,           0.0058744,           0.0058744
                  53,            0.040069,            0.044133,            0.031439,             0.29038,             0.28238,             0.25045,             0.15555,            0.044588,            0.028512,            0.058326,           0.0057488,           0.0057488,           0.0057488
                  54,            0.040585,            0.046209,            0.030242,             0.23417,             0.33909,             0.25439,              0.1569,            0.044429,            0.028076,            0.063347,           0.0056236,           0.0056236,           0.0056236
                  55,            0.040154,            0.045729,            0.029343,             0.27413,             0.33745,             0.27388,             0.17492,            0.045057,            0.028668,            0.058001,           0.0054987,           0.0054987,           0.0054987
                  56,            0.040635,            0.045456,            0.028949,             0.24681,             0.32934,             0.27298,             0.17351,            0.043751,            0.027338,            0.059923,           0.0053743,           0.0053743,           0.0053743
                  57,            0.039502,            0.045331,             0.02771,             0.39797,             0.23956,             0.26448,             0.16351,            0.043278,            0.027946,            0.069467,           0.0052505,           0.0052505,           0.0052505
                  58,            0.039867,            0.043284,            0.028181,             0.30673,             0.28602,             0.28744,             0.17631,            0.043651,             0.02777,            0.061997,           0.0051274,           0.0051274,           0.0051274
                  59,            0.039804,            0.044965,            0.026627,             0.23117,             0.35173,              0.2477,             0.15504,            0.045405,            0.028787,            0.065929,           0.0050052,           0.0050052,           0.0050052
                  60,            0.038393,            0.043566,             0.02685,             0.21999,             0.34547,             0.26811,             0.16536,            0.043317,            0.028265,            0.058941,            0.004884,            0.004884,            0.004884
